Foundry and Welding,"Iron Pourer,Iron Worker"
Brake and Clutch,"Assembler Of Clutches,Brake/ clutch Mfg Worker,Brake Line And Shoe Repairman,Brake Yard Worker,Brake Line And Shoe Installer,Brake And Clutch Repairman,Assembler And Installer Of Brakes,Brake Mechanic,Brake Line And Shoe Installer, Repairman,Brakeman,Auto Mechanic,Brake Worker"
Burner,"Burner Helper,Burner,Burner Installer,Burner Repairman"
Insulation and insulator,"Spray Insulator,Pipe Insulator,Heating Insulator,Checker At Insulation Warehouse,Telephone Cable Insulator And Installer,Heat Systems Installer And Repairman,Electric Cable Insulator And Installer,Refractory Insulator,Heat & Frost,Asbestos Worker,Insulated Household Appliances,Cold Storage Insulator"
"Shipyard, Stevedore, and Longshore","Stevedore,Mechanic (Ships),Shipyard Tooler,Shipyard Dump Keeper,Shipyard Clerk,Shipyard Laborer,Shipyard Worker"
"Carpentry, Masonry, and Insulation","Insulation Helper,Steel Erector,Joiner,Insulator Helper/ Apprentice,Insulation Machinist,Insulation,Lagger,Caulker,Bricklayer,Insulation Worker,Insulator,Insulator Helper"
Structural and Metalworking,"Steel Dipper,Steelfitter,Coppersmith,Steel Worker,Steel Checker,Plater,Sheetmetal Fabricator,Sheetmetal Mechanic"
Maritime,"Boat Builder,Captain,Shipwright,Boat Operator,Marine Carpenter,Shiptender"
Boiler,"Boilermaker Helper,Boiler Supervisor,Boilers Mfg. Plant Worker,Aluminum Worker,Boilermaid,Ash Puller,Boilertender,Apprentice Fitter,Boiler Technician,Boilermaker Supervisor,Boiler Washer,Boiler Inspector,Boiler Tester,Boilerman,Boiler Insulator,Boiler Repair,2nd Helper,Boiler Operator,Boiler Maker,Boiler Plant Operator,Boiler Coverers,Boiler Worker,Boiler Mechanic Helper,Boilermaker,Boiler Tender,Ash Handler"
Supervision and Management,"Production Checker,Ship Supervisor,Hull Foreman,Specifications Supervisor,Maintenance Supervisor,Process Controlman,Material Supervisor,Quarterman,Ship Inspector,Hull Department Supervisor,Supervisor,Ship Superintendent,Quality Control Inspector,Production Controller,General Foreman,Sheetmetal Supervisor"
Tile,"Floor Tile And Linoleum Layer,Tile Worker,Tile Installer,Tile Mechanic,Ceiling Tile Installer,Tile Grinder,Tile Helper,Vinyl Asbestos Floor Tiles Worker,Tile Layer"
Non-industrial,"Teacher,Firefighter"
Electrical Engineering,"Electrician Helper,Electrician,Wireman,Electric Welder,Electrical Technician,Power Meter Installer,Electrical Repairman,Marine Electrician,Electric Tester,Electrical Inspector,Electronic Technician,Electrician - Commercial Building Trades,Maintenance Electrician,Electronic Mechanic,Industrial Electrician,Electrical Engineer"
Operator and Production,"Mechanic,Draw Twist,Hot Metal Operator,Cable Splicer,Crane Repairman,Production Operator,Refinery Lab Tech.,Metal Cleaner,Truck Driver,Runner,Final Construction Inspector,Field Operator Supervisor,Cell Renewal Leader,Butler Pit Operator,Magazine Operator,Production Worker,Mechanic Repairman,Crackoff,Operating Engineer,RR Fire Box Installer, Repairman,Pot Operator,Turnaround/ Production Service Operator,Refractory Worker,Bale Press Operator,Sampler,Rust Machine Operator,Tower Crane Operator,Crane Operator,Tractor Operator,Beamer,Stationary Engineer,Working Foreman,Heavy Equipment Operator,Reactor Plant Worker,Crude Still Foreman,Machine Operator,Trackman,B Operator,Operator Of High Temp Machines,Forklift Operator,Ship Test Operator,RR Car Construction Worker, Repairman,Spinner Cutter,Machinist,Lay Operator,Chief Operator In Pump Room,Mechanical Craftsman,Saw Operator,Heavy Duty Mechanic,Refinery Operator,Head Operator,Furnace Top Operator,Chemist,Operator,Tow Motor Driver,Shift Manager,Fireman,Transport Man,Refinery Laborer,Pusher Operator,Pusher,Furnace Operator,Operator (No Temperature Specified),Byproducts Operator,Shift Operator,Sandmuller Operator,Pressman,Doff Crew,Shift Foreman,Press Operator,Cable Worker,Process Operator,Plant Operator,Lathe Operator,Cable Puller,Chemical Operator,Xray Operator"
Mill and Mold,"Mold Man,Millman"
"Warehouse, Material Handling, and Logistics","Truck Loader,Material Handler,Storekeeper,Warehouseman,Warehouseman, Stockman,Shipping,Material Runner,Material Analyst,Warehouse Clerk,Salesman,Materials Clerk"
Brick and masonry,"Brickman,Brickmason"
Masonry and brick,Brick Mason
"Construction, Masonry and Maintenance","Sheetmetal Worker,Repairman,Pipe Layer Of Water And Sewer Lines,Dry Cleaner,Yard Laborer,Carpenter - Commercial Building Trades,Rigger/ Assembler,Bagger,Concrete Finisher - Commercial Building Trades,Plumber,Carpenter Or Joiner,Construction Crew,Brick Layer,Mechanical Engineer,Batch Loader,Roofer,Mason Tender,Mason,Carpenter,Raw Materials Worker,Elevator Construction,Hod Carrier,Rigger,Fabricator,Steelworker,Sheetmetal Worker/ Apprentice,Abatement Worker,Cement Finisher,Lagging Foreman,Pipe Layer,Material Scheduler,Construction Laborer,Kiln Operator,Concrete Laborer,Furnace Repairman"
Foreman and supervisor,Dryer Foreman
Assembly Line and Production,"Piece Worker,Assembly Line Worker,Patcher,Loader,Stock Preparation"
Miscellaneous,"Tacker,Pattern Maker,Stripheater,Power Plant Worker,Mechanic,Plasterer,Pneumatic Tool Operator,Naval Plant Maintenance,Air Conditioning Mechanic,Shipfitters Clerk,Glass Worker,Sheetrock Hanger,Cooker (pulp),Operations Specialist,Metal Lather,Air Conditioning Installer,repairman,Turbine Tester,Turner,Metal Cleaner,Laborer,Marker,Rip Out,Ship Room Operations,B&B Mechanic,Shop Repairman,Chipper,Glass Blower,Acoustical Worker,Building Remodeler,Rodman,Riveter,Mechanic Repairman,Operating Engineer,Lead Burner,Steam Engineer,Tool Control,Rivet Bulker,Commercial Elect. Equip.,appliance Wkr,Sketcher,Cement Mason - Commercial Building Trades,Physical Tester,Sprinkler Fitter,Ship Cleaner,Steelworker,Machinist Helper,Roustabout/ Utility Man,Scarfer,Tire Cord Operations,Ship Scaler,Straightener,Weld Checker,Neon Signs Worker,Mechanical Maintenance,Fettler Clay Plant (tends Furnace),Worker In Railroad Repair Shop,Striker,Roundhouse Worker,Laborer (Papermill),Moulder Crane,Steel Worker,Generator/ Transformer Mfg Worker,Drywall Applicator,Dishwasher,Mechanical Craftsman,Ship Surveyor,Neon Tube Bender,Molds Manufacturer,Air Conditioning/ heating Mfg. Worker,Brick Room Helper,Oil Burner,Scaleman,Dry Wall Taper,Asbestos Furniture Worker,Ingot Casting,Soundproofing Installer,Ventilator,Roustabout,Steelfitter,Lather,Turnaround Man,Scaffold Foreman,Assembler,Shrinker,Drywall Installer - Commercial Building Trades,Neon Sign Manufacturer,Scaler,Demolition Worker,Janitor,Hvac Installer,Industrial Incinerator Worker,Piece Work Counter,Pneumatic Helper"
"Maintenance, Technicians and Repair","Marine Engineer,Marine Machinist,Maintenance Man,Mechanic,Ordnance Equipment Mechanic,Pot Tender,Tester,Powerhouse Employee,Leadman,Ship Repairman,Millwright,Superintendent,Metal Cleaner,Weight Changer,Hydraulic Mechanic,Tool Room Machinist,Marine Bull Wiper,Compound Mixer,Tankerman/ Tanker Utility,Steam Machinist,Powerhouse Mechanic,Drill Repairman,Turbine Boot,Hor Nylon Worker,Marine Plant Maintenance,Watch Foreman,Storeroom Clerk,Power House Mechanic,Mechanic Repairman,Operating Engineer,Radiological Technician,Oiler,Wiper,Packer/ Loader,Mechanic's Helper,Pot Fitter,Rice Parmer,Heavy Mobile Equipment Mechanic,Powerhouse Laborer,Sweeper,Zone Mechanic,Tool Room Mechanic,Ship Repair,Mixer,Utilityman,Equipment Operator,Gauger,Maintenance,Mechanical Fitter,Ship Maintenance Mechanic,Oil Field Worker,Diesel Mechanic,Construction Mechanic,Car Repairman,Packer,Poolman,Door Mechanic Operator,Field Worker,Mold Loft Worker,Tank Tester,Mechanical Craftsman,Fleet Worker,Installer,Railroad Car Repairman,Pot Room Production,Nuclear Inspector,Qualified Mechanic Engine Department,Nuclear Power Inspector,Railroad Engineer,Weighmaster,Maintenance Oiler Utility,Maintenance Mechanic,Rosin Shed Worker,Maintenance Foreman,Erector,Lead Gauger,Power Engineer,Still Cleaner,Technician,Pumpman,Pot Rebuilder,Outside Machinist,Tank Cleaner,Instrument Fitter,Plant Operator,Instrument Technician,Plant Maintenance,Deck Engine Mechanic,Tool Room,Molder,Rough Necker"
Asbestos handling,"Beaterman,Asbestos Floor Supervisor,Weaver Of Asbestos Textiles,Puncher Of Roofing Materials,Pipe Insulator,Cutter,Puncher Of Millboard,Hopper Loader,Spinner Of Asbestos Cloths,Puncher Of Reinforced Plastics,Puncher Of Asbestos Cement Pipes,Puncher Of Flooring Materials,Bag Opener,Bale Roller,Asbestos Worker,Puncher Of Gaskets,Carder Of Asbestos Yarn"
Casting and Foundry,"Crane Follower,Tinner,Galvinizer,Heat Treater,Grinder,Spray Gun Worker,Core Setter,Kiln (Tender/ Builder),Furnace Liner,Coremaker,Tool Maker,Mold Maker,Pipe Racker,Steelman,Flame Cutter,Foiler,Gun Crew,Metallurgical Inspector,Grinding Room,Stocker,Anglesmith,Crane Millwright,Iron And Steel Castings In Foundries,Binder Changer,Furnace Fireman,Heating,Cleanup Man,Millman,Melt Shop,Open Hearth Helper,Kiln Worker,Crane Hooker,Furnace Helper,Stenciler,Pourer,Gear Cutter,Steel Puller,Fitter,Die Cast Operator,Moulder,Core Room Operator,Roll Turner,Sheet Metal Mechanic,Steel Pourer,Ladle Helper,Skimmer,Longshoreman,Tarpit,Steel Worker,Belt Operator,Casting and Foundry,Pipe Insulator,Oven Operator,Production Line,Grounder,Slagger,Role Press Operator,Roving Mechanic,Stove Tender,Batter Operator,Furnace Installer,Metal Pourer,Pipemill Worker,Caster,Reamer,Grinding Room/ Grinder,Foundry Worker,Hot Top Maker,Metal Foreman,Swing Grinder,Rolling Mill,Forger,Sheetmetal Department Worker,Bar Shearman,Nozzle Setter,Hot Scarfer,Plater Tender"
Blacksmith and Helper,"Blacksmith Helper,Blacksmith,Blacksmith (Fonges)"
Pipe and Welding,"Pipe Repairs,Pipefitter,Pipe Coverer,Pipe Carrier,Pipe Stripper,Stoker,Shipwright,Gas Welder,Welder Instructor,Welder Inspector,Welding Foreman,Welder Helper,Pipecoverer,Pipe Cutter,Pipe Welder,Pipe Tester,Welder,Pipe Hanger,Pipefitter Helper,Pipe Grinder,Pipe Foreman"
Painting and Coating,"Painter - Commercial Building Trades,Sandblaster,Marine Painter,Sprayer,Steel Painter,Painter"
Management and Supervision,"Inventory Clerk,Foreman,Inspector,Substitute Foreman,Industrial Engineer,Industrial Process Furnaces, Ovens,Instrumentor,Lead Forman"
Furnace,"Furnace Manufacturer,Oven/ Furnace Mfg. Worker,Furnace Machinist"
"Engineering, Design and Maintenance","Shipfitter,Engine Room Supervisor,Licensed Junior Engineer,Engine Maintenance Man,Engineman,Engine Room Mechanic,Engineer,Unlicensed Junior Engineer,Unlicensed Engineer,First Assistant Engineer,Licensed Engineer,Design Engineer,Unlicensed Electrical Engineer,Third Operating Mechanic,Naval Fireman,Turbine Mechanic,Water Tender,Engine Room Wiper,Second Assistant Engineer,Trouble Shooter,Engine Room Worker,Sr. Design Specialist,Steamfitter,Fireman (on Ship),Design Specialist,Chief Engineer,Engine Fitter,Engine Utility,Shipbuilder,Third Engineer,Senior Bay Foreman,Test Engineer,Licensed Electrical Engineer,Submarine Engineerman,Production Engineer,Fireman/ Watertender,Senior Analyst,Navy Machinist,Unlicensed Refrigeration Engineer,Plant Worker,Estimator,Engine Room Steam Crew,Engineer On Ship,Naval Architect,Engine Apprentice,Engine Cadet,Draftsman,Field Engineer,Naval Engineer"
